REF_AREA;MEASURE;UNIT_MEASURE;MEASURE_PRINCIPLE;ACCOUNTING_ENTRY;TYPE_ENTITY;FDI_COMP;SECTOR;COUNTERPART_AREA;LEVEL_COUNTERPART;ACTIVITY;FREQ;FDI_COLLECTION_ID;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MULT;CURRENCY;DECIMALS
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C29_30;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;GTU;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;D;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;P;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;Q;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;S;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;L;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;_X;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;_T;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;_T;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;_X;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;L;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;S;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;P;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;Q;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;D;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;GTU;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C29_30;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;N;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;I;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;G;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;O_T_U;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C15_23_27_31T33;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;R;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C19T22;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;A_B;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;K;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;J;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;F;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;H;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;E;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;M;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C24T28X27;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C10T12;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C13T18X15;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C13T18X15;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;RSP;D;S1;W;IMC;C10T12;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;C24T28X27;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;F;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;P;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;Q;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;M;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;L;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;K;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;H;A;CTRY_IND;2023;;A;6;USD;2
